idesco_level_1;esco_level_1;idesco_level_4;esco_level_4;2019;2023;tot
3;Technicians and associate professionals;3423;Fitness and recreation instructors and program leaders;9467;9045;18512
2;Professionals;2523;Computer network professionals;4007;3820;7827
3;Technicians and associate professionals;3342;Legal secretaries;859;815;1674
2;Professionals;2631;Economists;3751;3551;7302
3;Technicians and associate professionals;3134;Petroleum and natural gas refining plant operators;963;898;1861
2;Professionals;2146;Mining engineers, metallurgists and related professionals;608;562;1170
2;Professionals;2423;Personnel and careers professionals;16303;15067;31370
2;Professionals;2511;Systems analysts;54592;50355;104947
3;Technicians and associate professionals;3257;Environmental and occupational health inspectors and associates;2100;1933;4033
3;Technicians and associate professionals;3422;Sports coaches, instructors and officials;919;843;1762
3;Technicians and associate professionals;3513;Computer network and systems technicians;2454;2200;4654
2;Professionals;2633;Philosophers, historians and political scientists;1256;1114;2370
2;Professionals;2166;Graphic and multimedia designers;11597;10258;21855
1;Managers;1212;Human resource managers;5688;4898;10586
3;Technicians and associate professionals;3512;Information and communications technology user support technicians;20712;17816;38528
4;Clerical support workers;4415;Filing and copying clerks;1242;1065;2307
2;Professionals;2514;Applications programmers;5738;4905;10643
1;Managers;1420;Retail and wholesale trade managers;37694;32086;69780
3;Technicians and associate professionals;3334;Real estate agents and property managers;4815;4080;8895
1;Managers;1120;Managing directors and chief executives;12674;10735;23409
1;Managers;1349;Professional services managers not elsewhere classified;3200;2697;5897
3;Technicians and associate professionals;3312;Credit and loans officers;3186;2671;5857
3;Technicians and associate professionals;3511;Information and communications technology operations technicians;7013;5800;12813
2;Professionals;2133;Environmental protection professionals;667;550;1217
2;Professionals;2434;Information and communications technology sales professionals;999;823;1822
3;Technicians and associate professionals;3431;Photographers;1539;1267;2806
1;Managers;1221;Sales and marketing managers;24383;19964;44347
1;Managers;1346;Financial and insurance services branch managers;666;543;1209
2;Professionals;2144;Mechanical engineers;20439;16663;37102
1;Managers;1439;Services managers not elsewhere classified;1461;1188;2649
2;Professionals;2611;Lawyers;3563;2892;6455
1;Managers;1222;Advertising and public relations managers;1830;1483;3313
2;Professionals;2632;Sociologists, anthropologists and related professionals;571;460;1031
2;Professionals;2262;Pharmacists;14152;11382;25534
1;Managers;1345;Education managers;1657;1309;2966
2;Professionals;2152;Electronics engineers;11051;8728;19779
3;Technicians and associate professionals;3339;Business services agents not elsewhere classified;30742;24164;54906
3;Technicians and associate professionals;3435;Other artistic and cultural associate professionals;4707;3685;8392
3;Technicians and associate professionals;3116;Chemical engineering technicians;3168;2443;5611
2;Professionals;2413;Financial analysts;3551;2707;6258
1;Managers;1219;Business services and administration managers not elsewhere classified;11409;8656;20065
2;Professionals;2522;Systems administrators;15627;11839;27466
2;Professionals;2432;Public relations professionals;9857;7254;17111
2;Professionals;2353;Other language teachers;2236;1617;3853
1;Managers;1342;Health services managers;1560;1060;2620
3;Technicians and associate professionals;3331;Clearing and forwarding agents;18728;12665;31393
3;Technicians and associate professionals;3254;Dispensing opticians;3867;2604;6471
3;Technicians and associate professionals;3114;Electronics engineering technicians;8978;5981;14959
1;Managers;1213;Policy and planning managers;1847;1230;3077
2;Professionals;2643;Translators, interpreters and other linguists;2728;1757;4485
1;Managers;1431;Sports, recreation and cultural centre managers;1040;668;1708
2;Professionals;2145;Chemical engineers;4949;3174;8123
2;Professionals;2519;Software and applications developers and analysts not elsewhere classified;2874;1819;4693
3;Technicians and associate professionals;3322;Commercial sales representatives;63190;38123;101313
3;Technicians and associate professionals;3311;Securities and finance dealers and brokers;2441;1469;3910
2;Professionals;2521;Database designers and administrators;1873;1120;2993
2;Professionals;2512;Software developers;90458;53474;143932
1;Managers;1321;Manufacturing managers;15685;9252;24937
2;Professionals;2513;Web and multimedia developers;13758;8074;21832
3;Technicians and associate professionals;3321;Insurance representatives;4671;2720;7391
1;Managers;1324;Supply, distribution and related managers;8228;4743;12971
3;Technicians and associate professionals;3514;Web technicians;4533;2599;7132
1;Managers;1330;Information and communications technology service managers;9460;5297;14757
3;Technicians and associate professionals;3155;Air traffic safety electronics technicians;4264;1915;6179
2;Professionals;2120;Mathematicians, actuaries and statisticians;1614;717;2331
2;Professionals;2359;Teaching professionals not elsewhere classified;17091;7540;24631
2;Professionals;2653;Dancers and choreographers;1127;492;1619
2;Professionals;2310;University and higher education teachers;954;415;1369
3;Technicians and associate professionals;3324;Trade brokers;6530;2342;8872
4;Clerical support workers;4213;Pawnbrokers and money-lenders;1540;64;1604
